type,description,traits,strengths,weaknesses
ISTJ,"ISTJ 유형은 꼼꼼하고 사실을 중시하는 성격입니다. 매사에 논리적이고 체계적으로 접근하며, 높은 책임감으로 맡은 일을 끝까지 완수하는 경향이 있습니다:contentReference[oaicite:0]{index=0}. 현실 감각이 뛰어나며, 규칙과 전통을 존중하는 모습을 보입니다.","논리적, 체계적, 성실함, 책임감, 현실적","뛰어난 조직력과 체계적인 업무 수행 능력, 꼼꼼하게 세부사항을 챙겨 실수를 최소화함, 높은 책임감과 도덕성으로 신뢰받음, 현실적이고 목표 지향적으로 일 처리","감정 표현이 서툴러 상대방의 마음을 상하게 할 때가 있음, 완고하고 융통성이 부족해 타인의 의견 수용이 어려움, 변화에 대한 거부감으로 대응이 느림, 주변의 요구에 둔감해질 때가 있음"
ISFJ,"ISFJ 유형은 책임감이 강하고 따뜻하며 헌신적인 성격입니다. 세부적인 부분까지 꼼꼼하고 인내심이 강해 한 번 맡은 일은 끝까지 해냅니다:contentReference[oaicite:1]{index=1}. 다른 사람의 감정을 잘 헤아리고 배려심이 깊어 주변에 안정감을 주는 편입니다. 또한 현실 감각을 바탕으로 일을 실용적이고 조직적으로 처리하는 특징이 있습니다.","책임감, 따뜻함, 꼼꼼함, 배려, 현실적","따뜻하고 친절하게 타인을 배려하며 헌신적으로 도움, 뛰어난 조직력과 실용적인 문제 해결 능력, 약속과 책임을 끝까지 지키는 성실함, 주변에 안정감을 주는 침착함","자신의 필요를 뒤로하고 타인을 우선시함, 새로운 변화에 적응하기를 어려워함, 갈등과 비판을 극도로 싫어해 피하려는 경향, 속마음을 잘 표현하지 않아 스트레스가 쌓임"
INFJ,"INFJ 유형은 이해심 많고 직관적인 이상주의자로, 성실하고 창의적이며 남을 돕기 위해 애쓰는 것이 특징입니다:contentReference[oaicite:2]{index=2}. 소수의 사람들과 깊은 관계를 맺고자 하고, 독창적인 아이디어와 비전을 통해 문제를 해결하는 경향이 있습니다. 타인에 대한 공감 능력이 뛰어나며 자신의 가치관에 충실합니다.","이해심, 직관적, 이상주의, 창의적, 이타적","높은 직관력으로 상황을 통찰함, 뛰어난 공감 능력으로 타인의 감정을 잘 이해함, 창의적이고 독특한 아이디어로 문제 해결, 열정적으로 목표를 향해 꾸준히 노력","타인의 부정적 감정에 쉽게 상처받음, 지나친 걱정과 완벽주의로 스스로 지치기 쉬움, 남을 돕느라 자신의 필요를 간과함, 현실 감각이 부족해 이상과 현실 사이에서 혼란을 겪음"
INTJ,"INTJ 유형은 독립적이고 전략적인 사고를 지닌 성격입니다. 미래를 예측하고 효율적인 계획을 세워 문제를 해결하는 데 능하며, 감정보다 논리를 중시하는 편입니다:contentReference[oaicite:3]{index=3}. 명확한 논리와 근거를 통해 합리적인 결정을 내리고자 하고, 목표 달성을 위해 깊게 몰입하여 철저하게 계획을 실행하는 특징이 있습니다.","독립적, 전략적, 논리적, 독창적, 꼼꼼함","독창적인 사고와 독립적인 판단력으로 차별화된 해결책 모색, 현실적이고 장기적인 전략을 수립하고 실행하는 능력, 논리적 판단으로 객관적이고 효율적인 의사결정 수행, 높은 집중력과 꼼꼼함으로 목표 달성","감정이 개입된 상황이나 인간관계에서 어색함을 느낌, 지나친 독립심과 완고함으로 협업에 어려움, 타인의 감정에 둔감해 상처를 줄 때가 있음, 이상과 현실 간 갈등 및 완벽주의로 인한 스트레스"
ISTP,"ISTP 유형은 실용적이며 독립적인 모험가 성격입니다. 논리적인 분석력과 유연한 사고를 통해 문제를 능숙하게 해결하며:contentReference[oaicite:4]{index=4}, 변화하는 상황에도 빠르게 적응하는 편입니다. 현실적인 해결책을 중시하고 자기만의 공간과 자유를 소중하게 여기며, 필요할 때 즉각적으로 행동에 나서는 경향이 있습니다.","현실적, 실용적, 독립적, 유연함, 분석적","뛰어난 기술 활용 능력과 문제 해결 능력으로 과제를 효율적으로 완수, 현실적이고 실용적인 접근으로 명확한 목표 설정 및 추진, 환경 변화에 유연하게 적응, 논리적이고 분석적인 사고력 보유","대인관계에서 무뚝뚝하고 소통이 부족한 편, 고집이 세서 타인의 의견을 잘 듣지 않음, 감정 표현이 서툴러 주변의 감정을 놓칠 때가 있음, 미완료이거나 불확실한 상황을 견디기 어려워함"
ISFP,"ISFP 유형은 감성적이고 창의적인 성격입니다. 정서와 감각을 중요하게 여기며 일상 속에서 아름다움과 조화를 추구하는 특징이 있습니다:contentReference[oaicite:5]{index=5}. 현재의 순간을 즐기고 즉흥적인 라이프스타일을 선호하며, 갈등을 피하고 편안한 관계를 중시합니다. 자신의 생각과 감정을 예술적으로 표현하는 재능도 지닌 유형입니다.","감성적, 창의적, 유연함, 온화함, 예술적","풍부한 창의성과 아이디어로 예술적 능력을 발휘, 섬세한 감각과 통찰력으로 타인의 마음을 잘 이해함, 새로운 환경에도 잘 적응하는 높은 유연성, 호기심 많고 개방적이라 다양한 분야에 관심","속마음 표현이 서툴러 자신의 감정을 잘 드러내지 못함, 결정 내리기를 어려워해 일이 지연되거나 중단되기도 함, 갈등 상황에 대처하는 데 약해 쉽게 스트레스를 받음, 체계적인 계획이 부족해 일의 추진력이 떨어질 때가 있음"
INFP,"INFP 유형은 이상주의적이고 감성적인 성격입니다. 자신만의 가치관을 바탕으로 이상적인 세상을 꿈꾸고, 주변 사람들의 감정에 민감하게 공감합니다:contentReference[oaicite:6]{index=6}. 깊고 풍부한 내면 세계를 가지고 있으며, 창의적인 상상력으로 독특한 아이디어를 떠올리는 경향이 있습니다. 타인에게 따뜻하고 배려심 있게 대하며, 의미 있는 관계와 자기 성장을 중시합니다.","이상주의, 감성적, 공감, 창의적, 상상력","따뜻한 배려심과 관심으로 주변 사람들의 마음을 잘 읽고 이해함, 풍부한 상상력으로 독특하고 창의적인 아이디어 제시, 자신만의 확고한 가치관과 신념을 바탕으로 원칙을 지킴, 높은 감수성과 감성으로 예술적 재능을 발휘","현실과 이상 사이에서 갈등하여 스트레스를 받음, 타인의 비판에 민감하여 쉽게 영향받음, 내향적인 성향으로 자신의 감정을 표현하기 어려워 소통 부족이 발생, 완벽주의 성향으로 일의 시작과 마무리에 어려움을 겪음"
INTP,"INTP 유형은 독창적이고 논리적인 성격입니다. 강한 지적 호기심을 바탕으로 복잡한 이론적 문제들을 해결하기를 즐기며:contentReference[oaicite:7]{index=7}, 관습에 얽매이지 않고 자유롭게 사고하는 경향이 있습니다. 분석적이고 객관적인 태도로 사물을 바라보고, 자신만의 내적 세계와 독립성을 중요하게 생각합니다. 새로운 아이디어를 탐구하며 지식의 영역을 넓혀가는 것을 좋아합니다.","논리적, 분석적, 독창적, 지적인, 독립적","뛰어난 분석력과 지적 능력으로 복잡한 문제를 효율적으로 해결, 창의적인 아이디어를 제시하여 혁신적인 발상 가능, 폭넓은 지식 기반으로 다양한 주제에 통찰력을 발휘, 객관적이고 개방적인 자세로 냉철하게 판단","대인관계에서 의사소통이 미흡해 정서적 거리가 생김, 타인의 감정에 둔감하여 상처를 줄 수 있음, 세부 계획보다는 큰 그림에 집중해 실행 단계에서 문제 발생, 지나친 완벽주의가 오히려 성과를 저해할 수 있음"
ESTP,"ESTP 유형은 현실적 감각이 뛰어나고 대담한 모험가형 성격입니다. 현실에 기반한 빠른 판단으로 문제를 해결하고 변화에 능숙하게 적응하는 특징이 있습니다:contentReference[oaicite:8]{index=8}. 사교적이고 긍정적인 성격으로 사람들과 어울리기를 좋아하며, 유머러스한 에너지로 주변을 활기차게 만듭니다. 또한 실용적인 해결책을 찾아 즉각적인 결과를 얻는 것을 선호합니다.","적응력, 사교성, 유머러스함, 현실적, 모험심","새로운 상황에 빠르게 적응하고 문제 해결 능력이 뛰어남, 사교적이고 긍정적인 태도로 사람들과 쉽게 어울림, 활력 있고 유머 감각이 뛰어나 주변 분위기를 즐겁게 함, 실용적인 해결책에 집중하여 현실적이고 효과적인 결정","장기 목표나 반복적인 일에 대한 인내심이 부족함, 가끔 피상적인 부분에만 집중해 문제의 깊은 면을 놓침, 감정적인 대화를 어려워해 자신의 감정을 표현하지 못함"
ESFP,"ESFP 유형은 사람들과 함께하는 것을 즐기고, 넘치는 에너지와 애정을 주변에 퍼뜨리는 사교적인 성격입니다. 밝고 활기찬 분위기를 만들어내는 타고난 분위기 메이커로 알려져 있으며:contentReference[oaicite:9]{index=9}, 다른 사람들의 감정에 민감하게 반응하고 배려심 있게 행동합니다. 계획에 얽매이기보다 순간의 즐거움을 추구하며, 현실적인 문제 해결에도 재빠르게 나서는 편입니다.","사교적, 활기참, 관찰력, 현실적, 즉흥적","사교적이고 긍정적인 태도로 다양한 사람들과 잘 지냄, 넘치는 활력으로 어떤 상황에서도 밝고 쾌활한 분위기를 만듦, 주변 환경과 타인의 감정에 민감하여 배려심 있게 행동, 현실적인 문제 해결에 집중하며 즉각적인 실행력 발휘","계획성과 조직력이 부족해 장기 계획을 수행하는 데 어려움, 부정적 상황을 피하려는 경향으로 문제를 직시하기 어려움, 타인의 인정과 호감을 중시해 때로는 자신의 진심을 희생하기도 함"
ENFP,"ENFP 유형은 열정적이고 창의적인 성격입니다. 늘 새로운 아이디어를 생각해 내고 자유롭게 분야를 개척하는 경향이 있으며:contentReference[oaicite:10]{index=10}, 다양한 가능성에 대해 상상하기를 좋아합니다. 사교적이고 유쾌한 성격으로 사람들과 쉽게 친해지며, 풍부한 상상력과 독창성으로 창의적인 해결책을 제시합니다. 또한 자기 성장과 타인에 대한 격려에 열정적입니다.","열정적, 창의적, 상상력, 사교적, 긍정적","외향적이고 유쾌한 성격으로 사람들과 쉽게 어울림, 풍부한 상상력과 독창적인 생각으로 창의적인 해결책 제안, 자신이 관심 있는 일에 열정을 쏟고 주위 사람들에게도 동기부여를 줌, 감정 지능이 높아 타인의 감정을 잘 공감함","결정이나 계획을 세우는 데 어려움을 겪을 때가 있음, 새롭고 흥미로운 것에 끌려 시작한 일을 끝까지 못할 수 있음, 관심 분야가 너무 많아 한 가지에 집중하기 힘들 때가 있음"
ENTP,"ENTP 유형은 발명에 대한 열정과 재능을 지닌 혁신가적 성격입니다. 창의적으로 문제를 해결하고 새로운 아이디어를 추구하는 데 능하며:contentReference[oaicite:11]{index=11}, 호기심이 많아 다양한 경험을 즐깁니다. 토론을 통해 여러 관점을 수용하는 유연한 사고를 가지고 있고, 단기적인 이익보다 장기적인 비전과 가치를 중요하게 여깁니다. 끊임없이 변화와 발전을 모색하며 자신의 역량을 넓혀가는 것을 추구합니다.","창의적, 호기심, 유연한 사고, 통찰력, 혁신적","독창적인 사고로 새로운 아이디어를 잘 만들어내고 실행함, 단기적인 문제보다 장기적인 비전과 가치를 고려하는 넓은 시야, 다양한 관점을 경청하고 토론하며 성장하는 유연한 사고방식, 문제의 본질을 파악해 건설적인 비판과 개선책을 제시","새로운 아이디어에 끌려 시작한 일을 끝까지 완수하지 못할 때가 있음, 자신의 아이디어에 대한 갈등이나 비판에 민감하여 상처받기 쉬움, 체계적인 계획 수립과 일정 준수를 어려워함"
ESTJ,"ESTJ 유형은 열정적이며 책임감이 강한 성격입니다. 뛰어난 리더십과 조직 능력을 바탕으로 명확한 목표를 설정하고 체계적으로 추진하는 특징이 있습니다:contentReference[oaicite:12]{index=12}. 주어진 규칙과 질서를 존중하며, 실용적이고 현실적인 방식으로 문제를 해결하려고 합니다. 맡은 일에 대해 성실하고 단호하게 임하여 신뢰를 얻는 경우가 많습니다.","책임감, 리더십, 조직적, 현실적, 성실함","뛰어난 리더십으로 팀을 이끌고 명확한 목표 아래 비전을 실현함, 강한 책임감과 도덕성으로 주변의 신뢰를 받음, 체계적이고 조직적으로 일을 진행해 확실하게 마무리함, 현실적이고 전략적인 접근으로 문제 해결에 집중","자신의 방식을 고집하여 융통성이 부족할 때가 있음, 감정 표현이 서툴러 타인의 감정을 놓칠 수 있음, 변화를 꺼려하고 새로운 시도를 주저하는 경향이 있음, 타인의 갈등 상황에서 자신의 의견을 억누르다가 스트레스를 받을 수 있음"
ESFJ,"ESFJ 유형은 따뜻한 친절함과 뛰어난 사회성을 가진 성격입니다. 사람들을 돌보고 지지하는 데에 능숙하여 주변에서 신뢰받는 보호자 역할을 자연스럽게 수행합니다:contentReference[oaicite:13]{index=13}. 타인의 필요와 감정에 세심하게 신경 쓰고 배려하며, 전통과 규범을 존중하는 경향이 있습니다. 또한 책임감이 강하고 맡은 일이나 약속을 성실히 이행하여 신뢰를 얻습니다.","배려심, 사교성, 전통 존중, 책임감, 친절함","사교적이고 밝은 에너지로 주변 사람들과 쉽게 친해짐, 세심한 배려심으로 타인의 감정을 잘 알아채고 적절히 대응함, 일을 책임감 있게 끝까지 해내는 성실함, 현실적인 문제 해결을 중시하여 실용적인 조언을 제공","비판에 매우 민감하여 쉽게 상처받음, 타인의 인정을 지나치게 추구하다가 자기 자신을 소홀히 할 수 있음, 변화에 대한 적응력이 낮고 보수적인 경향이 있음, 갈등 상황에서 자신의 의견을 숨겨 스트레스를 받는 경우가 있음"
ENFJ,"ENFJ 유형은 따뜻한 긍정 에너지와 뛰어난 의사소통 능력을 지닌 리더형 성격입니다. 다른 사람을 보살피고 이끌어주는 데 재능이 있어 주변 사람들을 적극적으로 지지합니다:contentReference[oaicite:14]{index=14}. 사교적이고 공감 능력이 풍부하여 사람들과 쉽게 어울리고, 강한 책임감으로 공동의 목표를 향해 헌신합니다. 타인의 성장과 발전을 도우면서 자신도 의미를 찾는 것을 중요하게 생각합니다.","사교성, 공감, 리더십, 책임감, 배려심","주변 사람들을 잘 돌보고 격려하는 따뜻한 배려심, 활발한 의사소통과 협동심으로 뛰어난 팀워크 발휘, 명확한 비전과 목표를 가지고 사람들을 이끄는 리더십, 주변에서 얻은 정보와 통찰력을 활용한 뛰어난 판단력","타인의 인정에 지나치게 신경 써서 스스로를 희생할 때가 있음, 스트레스를 혼자 참아내다가 심리적으로 지칠 수 있음, 가끔 충동적으로 판단하거나 행동하여 원칙에서 벗어나기도 함, 상대의 미래를 지나치게 걱정하여 부담을 줄 때가 있음"
ENTJ,"ENTJ 유형은 자신감 넘치고 목표 지향적인 리더 성격입니다. 뚜렷한 비전과 원칙을 가지고 있으며, 강한 논리력으로 전략을 세워 목적을 달성하고자 합니다:contentReference[oaicite:15]{index=15}. 결단력 있고 객관적인 판단을 내리며, 토론을 즐기고 뛰어난 의사소통 능력으로 사람들을 이끄는 데 능합니다. 다만 감정적인 부분보다는 이성과 효율을 우선시하는 경향이 있습니다.","자신감, 리더십, 전략적, 논리적, 결단력","뛰어난 리더십 역량으로 명확한 목표 아래 비전을 제시함, 분석적이고 전략적인 사고로 문제를 해결하고 성과를 창출함, 합리적이고 객관적인 판단으로 최적의 결정을 내림, 강한 의사소통 능력으로 타인을 설득하고 이끌어감","감정적인 고려를 소홀히 하여 주변의 감정을 헤아리지 못할 때가 있음, 지나치게 자신만의 방식이나 의견을 고집하여 독단적으로 보일 수 있음, 상대적으로 온화한 성향의 사람에게는 간섭이나 강요로 비칠 위험이 있음, 완벽주의적 성향으로 지나치게 엄격하게 일 처리나 타인에게 요구할 때가 있음"
